0,1,2,3,4,5
1,5,6,37,27,14
1,5,6,37,30,14
1,5,6,37,33,14
1,5,21,27,17,14
1,5,21,27,30,14
1,5,21,30,17,14
1,5,21,33,17,14
1,5,21,33,27,14
1,5,21,33,30,14
1,5,23,6,17,14
1,5,23,6,21,14
1,5,23,6,27,14
1,5,23,6,30,14
1,5,23,6,33,14
1,5,23,6,37,14
1,5,23,21,17,14
1,5,23,21,27,14
1,5,23,21,30,14
1,5,23,21,33,14
1,5,23,27,17,14
1,5,23,27,30,14
1,5,23,29,6,14
1,5,23,29,17,14
1,5,23,29,21,14
1,5,23,29,27,14
1,5,23,29,30,14
1,5,23,29,33,14
1,5,23,29,37,14
1,5,23,30,17,14
1,5,23,33,17,14
1,5,23,33,27,14
1,5,23,33,30,14
1,5,23,37,17,14
1,5,23,37,21,14
1,5,23,37,27,14
1,5,23,37,30,14
1,5,23,37,33,14
1,5,27,30,17,14
1,5,29,6,17,14
1,5,29,6,21,14
1,5,29,6,27,14
1,5,29,6,30,14
1,5,29,6,33,14
1,5,29,6,37,14
1,5,29,21,17,14
1,5,29,21,27,14
1,5,29,21,30,14
1,5,29,21,33,14
1,5,29,27,17,14
1,5,29,27,30,14
1,5,29,30,17,14
1,5,29,33,17,14
1,5,29,33,27,14
1,5,29,33,30,14
1,5,29,37,17,14
1,5,29,37,21,14
1,5,29,37,27,14
1,5,29,37,30,14
1,5,29,37,33,14
1,5,33,27,17,14
1,5,33,27,30,14
1,5,33,30,17,14
1,5,37,21,17,14
1,5,37,21,27,14
1,5,37,21,30,14
1,5,37,21,33,14
1,5,37,27,17,14
1,5,37,27,30,14
1,5,37,30,17,14
1,5,37,33,17,14
1,5,37,33,27,14
1,5,37,33,30,14
1,6,21,27,17,14
1,6,21,27,30,14
1,6,21,30,17,14
1,6,21,33,17,14
1,6,21,33,27,14
1,6,21,33,30,14
1,6,27,30,17,14
1,6,33,27,17,14
1,6,33,27,30,14
1,6,33,30,17,14
1,6,37,21,17,14
1,6,37,21,27,14
1,6,37,21,30,14
1,6,37,21,33,14
1,6,37,27,17,14
1,6,37,27,30,14
1,6,37,30,17,14
1,6,37,33,17,14
1,6,37,33,27,14
1,6,37,33,30,14
1,15,3,5,6,14
1,15,3,5,17,14
1,15,3,5,21,14
1,15,3,5,23,6
1,15,3,5,23,14
1,15,3,5,27,14
1,15,3,5,29,6
1,15,3,5,29,14
1,15,3,5,30,14
1,15,3,5,33,14
1,15,3,5,37,14
1,15,3,6,17,14
1,15,3,6,21,14
1,15,3,6,27,14
1,15,3,6,30,14
1,15,3,6,33,14
1,15,3,6,37,14
1,15,3,21,17,14
1,15,3,21,27,14
1,15,3,21,30,14
1,15,3,21,33,14
1,15,3,23,6,14
1,15,3,23,17,14
1,15,3,23,21,14
1,15,3,23,27,14
1,15,3,23,29,6
1,15,3,23,29,14
1,15,3,23,30,14
1,15,3,23,33,14
1,15,3,23,37,14
1,15,3,27,17,14
1,15,3,27,30,14
1,15,3,29,6,14
1,15,3,29,17,14
1,15,3,29,21,14
1,15,3,29,27,14
1,15,3,29,30,14
1,15,3,29,33,14
1,15,3,29,37,14
1,15,3,30,17,14
1,15,3,33,17,14
1,15,3,33,27,14
1,15,3,33,30,14
1,15,3,37,17,14
1,15,3,37,21,14
1,15,3,37,27,14
1,15,3,37,30,14
1,15,3,37,33,14
1,15,4,3,5,6
1,15,4,3,5,14
1,15,4,3,6,14
1,15,4,3,17,14
1,15,4,3,21,14
1,15,4,3,23,6
1,15,4,3,23,14
1,15,4,3,27,14
1,15,4,3,29,6
1,15,4,3,29,14
1,15,4,3,30,14
1,15,4,3,33,14
1,15,4,3,37,14
1,15,4,5,6,14
1,15,4,5,17,14
1,15,4,5,21,14
1,15,4,5,23,6
1,15,4,5,23,14
1,15,4,5,27,14
1,15,4,5,29,6
1,15,4,5,29,14
1,15,4,5,30,14
1,15,4,5,33,14
1,15,4,5,37,14
1,15,4,6,17,14
1,15,4,6,21,14
1,15,4,6,27,14
1,15,4,6,30,14
1,15,4,6,33,14
1,15,4,6,37,14
1,15,4,19,3,5
1,15,4,19,3,6
1,15,4,19,3,14
1,15,4,19,5,6
1,15,4,19,5,14
1,15,4,19,6,14
1,15,4,19,17,14
1,15,4,19,21,14
1,15,4,19,23,6
1,15,4,19,23,14
1,15,4,19,27,14
1,15,4,19,29,6
1,15,4,19,29,14
1,15,4,19,30,14
1,15,4,19,33,14
1,15,4,19,37,14
1,15,4,21,17,14
1,15,4,21,27,14
1,15,4,21,30,14
1,15,4,21,33,14
1,15,4,23,6,14
1,15,4,23,17,14
1,15,4,23,21,14
1,15,4,23,27,14
1,15,4,23,29,6
1,15,4,23,29,14
1,15,4,23,30,14
1,15,4,23,33,14
1,15,4,23,37,14
1,15,4,27,17,14
1,15,4,27,30,14
1,15,4,29,6,14
1,15,4,29,17,14
1,15,4,29,21,14
1,15,4,29,27,14
1,15,4,29,30,14
1,15,4,29,33,14
1,15,4,29,37,14
1,15,4,30,17,14
1,15,4,33,17,14
1,15,4,33,27,14
1,15,4,33,30,14
1,15,4,37,17,14
1,15,4,37,21,14
1,15,4,37,27,14
1,15,4,37,30,14
1,15,4,37,33,14
1,15,5,6,17,14
1,15,5,6,21,14
1,15,5,6,27,14
1,15,5,6,30,14
1,15,5,6,33,14
1,15,5,6,37,14
1,15,5,21,17,14
1,15,5,21,27,14
1,15,5,21,30,14
1,15,5,21,33,14
1,15,5,23,6,14
1,15,5,23,17,14
1,15,5,23,21,14
1,15,5,23,27,14
1,15,5,23,29,6
1,15,5,23,29,14
1,15,5,23,30,14
1,15,5,23,33,14
1,15,5,23,37,14
1,15,5,27,17,14
1,15,5,27,30,14
1,15,5,29,6,14
1,15,5,29,17,14
1,15,5,29,21,14
1,15,5,29,27,14
1,15,5,29,30,14
1,15,5,29,33,14
1,15,5,29,37,14
1,15,5,30,17,14
1,15,5,33,17,14
1,15,5,33,27,14
1,15,5,33,30,14
1,15,5,37,17,14
1,15,5,37,21,14
1,15,5,37,27,14
1,15,5,37,30,14
1,15,5,37,33,14
1,15,6,21,17,14
1,15,6,21,27,14
1,15,6,21,30,14
1,15,6,21,33,14
1,15,6,27,17,14
1,15,6,27,30,14
1,15,6,30,17,14
1,15,6,33,17,14
1,15,6,33,27,14
1,15,6,33,30,14
1,15,6,37,17,14
1,15,6,37,21,14
1,15,6,37,27,14
1,15,6,37,30,14
1,15,6,37,33,14
1,15,19,3,5,6
1,15,19,3,5,14
1,15,19,3,6,14
1,15,19,3,17,14
1,15,19,3,21,14
1,15,19,3,23,6
1,15,19,3,23,14
1,15,19,3,27,14
1,15,19,3,29,6
1,15,19,3,29,14
1,15,19,3,30,14
1,15,19,3,33,14
1,15,19,3,37,14
1,15,19,5,6,14
1,15,19,5,17,14
1,15,19,5,21,14
1,15,19,5,23,6
1,15,19,5,23,14
1,15,19,5,27,14
1,15,19,5,29,6
1,15,19,5,29,14
1,15,19,5,30,14
1,15,19,5,33,14
1,15,19,5,37,14
1,15,19,6,17,14
1,15,19,6,21,14
1,15,19,6,27,14
1,15,19,6,30,14
1,15,19,6,33,14
1,15,19,6,37,14
1,15,19,21,17,14
1,15,19,21,27,14
1,15,19,21,30,14
1,15,19,21,33,14
1,15,19,23,6,14
1,15,19,23,17,14
1,15,19,23,21,14
1,15,19,23,27,14
1,15,19,23,29,6
1,15,19,23,29,14
1,15,19,23,30,14
1,15,19,23,33,14
1,15,19,23,37,14
1,15,19,27,17,14
1,15,19,27,30,14
1,15,19,29,6,14
1,15,19,29,17,14
1,15,19,29,21,14
1,15,19,29,27,14
1,15,19,29,30,14
1,15,19,29,33,14
1,15,19,29,37,14
1,15,19,30,17,14
1,15,19,33,17,14
1,15,19,33,27,14
1,15,19,33,30,14
1,15,19,37,17,14
1,15,19,37,21,14
1,15,19,37,27,14
1,15,19,37,30,14
1,15,19,37,33,14
1,15,21,27,17,14
1,15,21,27,30,14
1,15,21,30,17,14
1,15,21,33,17,14
1,15,21,33,27,14
1,15,21,33,30,14
1,15,22,3,5,6
1,15,22,3,5,14
1,15,22,3,6,14
1,15,22,3,17,14
1,15,22,3,21,14
1,15,22,3,23,6
1,15,22,3,23,14
1,15,22,3,27,14
1,15,22,3,29,6
1,15,22,3,29,14
1,15,22,3,30,14
1,15,22,3,33,14
1,15,22,3,37,14
1,15,22,4,3,5
1,15,22,4,3,6
1,15,22,4,3,14
1,15,22,4,5,6
1,15,22,4,5,14
1,15,22,4,6,14
1,15,22,4,17,14
1,15,22,4,19,3
1,15,22,4,19,5
1,15,22,4,19,6
1,15,22,4,19,14
1,15,22,4,21,14
1,15,22,4,23,6
1,15,22,4,23,14
1,15,22,4,27,14
1,15,22,4,29,6
1,15,22,4,29,14
1,15,22,4,30,14
1,15,22,4,33,14
1,15,22,4,37,14
1,15,22,5,6,14
1,15,22,5,17,14
1,15,22,5,21,14
1,15,22,5,23,6
1,15,22,5,23,14
1,15,22,5,27,14
1,15,22,5,29,6
1,15,22,5,29,14
1,15,22,5,30,14
1,15,22,5,33,14
1,15,22,5,37,14
1,15,22,6,17,14
1,15,22,6,21,14
1,15,22,6,27,14
1,15,22,6,30,14
1,15,22,6,33,14
1,15,22,6,37,14
1,15,22,19,3,5
1,15,22,19,3,6
1,15,22,19,3,14
1,15,22,19,5,6
1,15,22,19,5,14
1,15,22,19,6,14
1,15,22,19,17,14
1,15,22,19,21,14
1,15,22,19,23,6
1,15,22,19,23,14
1,15,22,19,27,14
1,15,22,19,29,6
1,15,22,19,29,14
1,15,22,19,30,14
1,15,22,19,33,14
1,15,22,19,37,14
1,15,22,21,17,14
1,15,22,21,27,14
1,15,22,21,30,14
1,15,22,21,33,14
1,15,22,23,6,14
1,15,22,23,17,14
1,15,22,23,21,14
1,15,22,23,27,14
1,15,22,23,29,6
1,15,22,23,29,14
1,15,22,23,30,14
1,15,22,23,33,14
1,15,22,23,37,14
1,15,22,27,17,14
1,15,22,27,30,14
1,15,22,29,6,14
1,15,22,29,17,14
1,15,22,29,21,14
1,15,22,29,27,14
1,15,22,29,30,14
1,15,22,29,33,14
1,15,22,29,37,14
1,15,22,30,17,14
1,15,22,33,17,14
1,15,22,33,27,14
1,15,22,33,30,14
1,15,22,37,17,14
1,15,22,37,21,14
1,15,22,37,27,14
1,15,22,37,30,14
1,15,22,37,33,14
1,15,23,6,17,14
1,15,23,6,21,14
1,15,23,6,27,14
1,15,23,6,30,14
1,15,23,6,33,14
1,15,23,6,37,14
1,15,23,21,17,14
1,15,23,21,27,14
1,15,23,21,30,14
1,15,23,21,33,14
1,15,23,27,17,14
1,15,23,27,30,14
1,15,23,29,6,14
1,15,23,29,17,14
